140890688,140890909,140758474,140758643,140913130,140913321
141522007,141522167,141397619,141397773,141550914,141551635
142196153,142196767,142064774,142065279,142229432,142229919
142894199,142894394,142761854,142761993,142915051,142915416
143530251,143530376,143397983,143398125,143561383,143561755
235118647,235118811,234986483,234986799,235139802,235139997
235774303,235774418,235641859,235642077,235795096,235795291
236430389,236430505,236298157,236298343,236451270,236451448
237073980,237074117,236941516,236941666,237094967,237095122
237770475,237770691,237638684,237639107,237792280,237793782
249886849,249887035,249754491,249754647,249909061,249909265
250537958,250538067,250405446,250405699,250558677,250558862
251210985,251211223,251092297,251092561,251245777,251246313
251850212,251850318,251717694,251717878,251870848,251871017
252526780,252527025,252394648,252394998,252551514,252551808
